,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,gitee_id,gitee_url,docs_url,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,trending,npm_id,npm_url,npm_monthly_downloads
103,BIT-Moodle-Theme-Enhance,https://github.com/fky2015/BIT-Moodle-dracula-Theme,fky2015/BIT-Moodle-dracula-Theme,academic,['web'],https://github.com/fky2015/BIT-Moodle-dracula-Theme,,2020-02-22 16:24:19,2020-03-03 04:24:59,2020-03-03 04:24:51,11.0,,,1.0,,,,,,,,,,provide mordern theme design for moodle system.,,2,False,3.0,,,,,,,,,397151.0,https://greasyfork.org/scripts/397151,https://greasyfork.org/scripts/397151-bit-moodle-theme-enhance/code/BIT-Moodle-Theme-Enhance.user.js,25.0,5.0,,,,
104,北理乐学美化,https://greasyfork.org/scripts/415353-%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E7%BE%8E%E5%8C%96,,academic,['web'],,,2020-11-03 04:17:44,2020-11-03 04:17:44,,,,,,,,,,,,,,,优化乐学的显示界面.,,2,False,3.0,,,,,,,,,415353.0,https://greasyfork.org/scripts/415353,https://greasyfork.org/scripts/415353-%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E7%BE%8E%E5%8C%96/code/%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E7%BE%8E%E5%8C%96.user.js,7.0,5.0,,,,
105,延河课堂视频下载,https://greasyfork.org/scripts/420055-%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD,,academic,['web'],,,2021-01-12 06:18:04,2021-01-12 10:40:09,,,,,,,,,,,,,,,下载延河课堂视频，方便下载.,,2,False,3.0,,,,,,,,,420055.0,https://greasyfork.org/scripts/420055,https://greasyfork.org/scripts/420055-%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD/code/%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD.user.js,163.0,5.0,,,,
106,让北理工网站正常一点,https://greasyfork.org/scripts/33194-%E8%AE%A9%E5%8C%97%E7%90%86%E5%B7%A5%E7%BD%91%E7%AB%99%E6%AD%A3%E5%B8%B8%E4%B8%80%E7%82%B9,,edu-cn,['web'],,,2017-09-14 12:55:48,2017-11-24 15:27:19,,,,,,,,,,,,,,,让北理工网站能够在chrome/firefox/等上正常运行.,,2,False,3.0,,,,,,,,,33194.0,https://greasyfork.org/scripts/33194,https://greasyfork.org/scripts/33194-%E8%AE%A9%E5%8C%97%E7%90%86%E5%B7%A5%E7%BD%91%E7%AB%99%E6%AD%A3%E5%B8%B8%E4%B8%80%E7%82%B9/code/%E8%AE%A9%E5%8C%97%E7%90%86%E5%B7%A5%E7%BD%91%E7%AB%99%E6%AD%A3%E5%B8%B8%E4%B8%80%E7%82%B9.user.js,49.0,5.0,,,,
107,问答：操作系统原理,https://github.com/YDX-2147483647/os_qa,YDX-2147483647/os_qa,learning,,https://github.com/YDX-2147483647/os_qa,,2022-10-31 06:56:50,2022-10-31 07:49:46,2022-10-31 07:49:28,12.0,,,1.0,,,,,,,,,,问答：操作系统原理。.,,2,True,3.0,,,,,,,,,,,,,,,,,
108,北理工自动签到脚本（研究生每晚宿舍签到）,https://github.com/WD11/bit_register_auto,WD11/bit_register_auto,misc,['python'],https://github.com/WD11/bit_register_auto,,2019-04-28 11:20:42,2019-07-09 09:16:14,2019-07-09 09:16:04,7.0,,,1.0,,,,3.0,,,,,,北理工自动签到.,2.0,1,False,3.0,,,,,,,,,,,,,,,,,
109,AutoBook,https://gitee.com/guang-ming-fu/auto-book,,cal,['java'],,GPL-3.0,2021-12-02 00:28:26,2023-01-16 19:37:52,,,,0.0,2.0,,,,2.0,,,,,,自动预约北理工图书馆自习室的脚本（由于网站更新，光速失效）.,,1,True,3.0,,,,,,guang-ming-fu/auto-book,https://gitee.com/guang-ming-fu/auto-book,,,,,,,,,,
110,BIT-WEB,https://github.com/Ethan-yt/BIT-WEB,Ethan-yt/BIT-WEB,srun,['web'],https://github.com/Ethan-yt/BIT-WEB,,2019-04-02 05:04:30,2022-02-11 18:53:56,2019-04-02 10:59:45,4.0,,1.0,2.0,2.0,,,2.0,,,,18.0,,北理工上网命令行脚本，支持联通移动.,,1,False,3.0,,2.0,2.0,,,,,,,,,,,,@ethanyt/bit,https://www.npmjs.com/package/@ethanyt/bit,18.0
111,北京理工大学邮箱推送服务,https://github.com/lywly/BIT_Mail_Monitor,lywly/BIT_Mail_Monitor,misc,['python'],https://github.com/lywly/BIT_Mail_Monitor,,2022-05-03 13:53:55,2022-05-07 07:54:30,2022-05-07 07:54:30,9.0,,,1.0,,,,2.0,2022-05-07 07:51:33,2022.05.07,13.0,0.0,3.0,北京理工大学邮箱推送服务.,,1,False,3.0,,,,,,,,,,,,,,,,,
112,BIT-thesis-template,https://github.com/PolarLion/BIT-thesis-template,PolarLion/BIT-thesis-template,template,['latex'],https://github.com/PolarLion/BIT-thesis-template,,2022-10-02 07:42:39,2022-10-03 05:35:54,2022-10-03 05:35:54,13.0,,,1.0,,,,1.0,,,,,,北京理工大学研究生毕业论文无bug模板-template for graduate thesis of Beijing Institute of Technology (No bug ver.).,,1,True,3.0,,,,,,,,,,,,,,,,,
113,cst-notifier,https://github.com/UnicornBoss/cst-notifier,UnicornBoss/cst-notifier,agg,['python'],https://github.com/UnicornBoss/cst-notifier,,2022-04-13 00:49:18,2022-04-12 08:24:55,2022-04-12 08:24:43,1.0,,,,,,,1.0,,,,,,Notify new announcements for https://cst.bit.edu.cn/xxfw/tzgg/index.htm.,,1,False,3.0,,,,,,,,,,,,,,,,,
114,bit正方教务处,https://gitee.com/felinae98/bitJwcToolkit,,academic,['python'],,GPL-2.0,2017-10-24 23:26:35,2020-12-19 13:26:52,,,,0.0,1.0,,,,1.0,,,,,,北理教务处套件.,,1,False,3.0,,,,,,felinae98/bitJwcToolkit,https://gitee.com/felinae98/bitJwcToolkit,,,,,,,,,,
115,BIT-linux-login,https://github.com/long-username/BIT-linux-login,long-username/BIT-linux-login,srun,['web'],https://github.com/long-username/BIT-linux-login,,2020-07-30 05:06:54,2020-07-30 05:08:18,2020-07-30 05:08:17,2.0,,,,,,,1.0,,,,,,北京理工大学，命令行-登陆客户端，支持 linux，windows 以及 macos。主要作为 ssh 远程登录.,,1,False,3.0,,,,,,,,,,,,,,,,,
116,YanhePrivilege,https://github.com/BIT-BOBH/YanhePrivilege,BIT-BOBH/YanhePrivilege,academic,['web'],https://github.com/BIT-BOBH/YanhePrivilege,,2022-06-28 13:32:40,2022-06-28 13:37:39,2022-06-28 13:37:32,1.0,,,,,,,1.0,,,,,,A tampermonkey script that allows you to play any class video in YanheKetang.,,1,False,3.0,,,,,,,,,,,,,,,,,
117,北京理工大学自动评教助手,https://zhuanlan.zhihu.com/p/346248138,,academic,['python'],,,2021-01-23 12:56:38,2021-11-18 12:09:48,,,,0.0,1.0,,,,,,,,,,【小工具】北京理工大学自动评教助手.,,1,False,3.0,,,,,,larry6799/pingjiao,https://gitee.com/larry6799/pingjiao,,,,,,,,,,
118,英语学习笔记,https://bit-study-notes.gitee.io/college-english,,learning,,,,2023-03-03 16:33:26,2023-07-11 23:52:47,,,,0.0,1.0,,,,,,,,,,北理工大学英语学习笔记.,,1,True,3.0,,,,,,bit-study-notes/college-english,https://gitee.com/bit-study-notes/college-english,,,,,,,1.0,,,
119,校内服务器联网脚本,https://gitee.com/burette/BIT-WEB,,srun,['python'],,,2020-05-08 16:32:08,2020-12-19 08:24:27,,,,0.0,1.0,,,,,,,,,,北理工校内服务器联网脚本.,,1,False,3.0,,,,,,burette/BIT-WEB,https://gitee.com/burette/BIT-WEB,,,,,,,,,,
120,BIT_Mail_Backup,https://github.com/lywly/BIT_Mail_Backup,lywly/BIT_Mail_Backup,misc,['python'],https://github.com/lywly/BIT_Mail_Backup,,2022-05-06 09:05:43,2022-05-09 12:42:49,2022-05-09 11:00:38,2.0,,,1.0,,,,,2022-05-09 12:42:49,2022.05.09,,,1.0,北京理工大学邮箱备份.,,1,False,3.0,,,,,,,,,,,,,,,,,
121,BITNetworkTool,https://github.com/lgasyou/BITNetworkTool,lgasyou/BITNetworkTool,srun,['python'],https://github.com/lgasyou/BITNetworkTool,,2020-09-11 13:21:08,2020-09-11 13:22:38,2020-09-11 13:20:04,1.0,,,2.0,,,,,,,,,,北京理工大学校园网命令行连接工具.,,1,False,3.0,,,,,,,,,,,,,,,,,
122,ACM寒假集训,https://gitee.com/TastyHeadphones/BITACM,,exp,,,,2021-01-25 17:44:51,2022-06-15 09:15:06,,,,0.0,1.0,,,,2.0,,,,,,北京理工大学ACM集训ppt.,,0,False,,,,,,,TastyHeadphones/BITACM,https://gitee.com/TastyHeadphones/BITACM,,,,,,,,,,
123,Python机器学习应用,https://gitee.com/chen_zi_chung/Machine-Learning-with-Python,,learning,,,,2020-04-22 08:20:38,2022-03-11 09:45:47,,,,0.0,1.0,,,,1.0,,,,,,北京理工大学Python相关系列全套课程.,,0,False,,,,,,,chen_zi_chung/Machine-Learning-with-Python,https://gitee.com/chen_zi_chung/Machine-Learning-with-Python,,,,,,,,,,
124,基于Selenium的BIT-Web登录脚本,https://github.com/MmDawN/BIT_Srun_Login_Selenium,MmDawN/BIT_Srun_Login_Selenium,srun,['python'],https://github.com/MmDawN/BIT_Srun_Login_Selenium,,2020-11-27 11:56:43,2020-11-27 12:08:40,2020-11-27 12:00:52,1.0,,,1.0,,,,1.0,,,,,,北理工校园网自动登录脚本.,,0,False,,,,,,,,,,,,,,,,,,
125,BIT_Network_Login,https://github.com/lxalxy/BIT_Network_Login,lxalxy/BIT_Network_Login,srun,['python'],https://github.com/lxalxy/BIT_Network_Login,,2016-08-14 04:30:01,2016-12-07 12:05:32,2016-12-07 12:05:06,12.0,,,2.0,,,,1.0,,,,,,用于北理工网络认证的简单脚本.,2.0,0,False,,,,,,,,,,,,,,,,,,
126,北京理工大学集成电路设计实践1,https://github.com/Devil-SX/integrated_circuit_practice,Devil-SX/integrated_circuit_practice,learning,['hdl'],https://github.com/Devil-SX/integrated_circuit_practice,,2022-05-16 14:36:00,2022-05-23 08:13:14,2022-05-23 08:13:04,3.0,,1.0,2.0,,,1.0,1.0,,,,,,百丽宫集成电路设计实践课.,,0,False,,,,,,,,,,,,,,,,,,
127,合成北理工,https://daxigua.liyupi.com,,misc,['web'],,,2021-01-30 12:27:52,2021-08-30 12:59:22,,,,0.0,1.0,,,,,,,,,,,,0,False,,,,,,,boboaini/synthetic-north-technology,https://gitee.com/boboaini/synthetic-north-technology,,,,,,,,,,
128,yanhekt-killer,{},LeiyaoCui/yanhekt-killer,academic,['web'],,,,,,,,,,,,,,,,,,,"Eliminate the unfair authority, when we try to learn more in yanhekt.",,0,False,,,,,,,,,,,,,,,,,,
